declared_land_ha,verified_land_ha,cadastral_land_ha,mean_ndvi,annual_income,crop_is_high_vigor,overclaim_ratio,eligible
6.2368574,5.1017118,5.7837105,0.46949866,1058948.0,0.0,1.2225028,0
3.623252,2.540315,3.8400347,0.5305854,403835.75,1.0,1.4263002,0
6.8970637,5.4726825,7.5704737,0.39120397,259773.88,0.0,1.2602711,0
5.6394706,4.417192,5.4820046,0.560001,1115449.1,1.0,1.2767094,0
0.9345833,0.6217684,1.0028733,0.59231424,869995.9,1.0,1.5031053,0
7.8098545,6.225835,8.219943,0.5814272,1166624.0,1.0,1.2544268,1
6.1368895,5.146884,6.6420603,0.4773375,621499.06,0.0,1.1923505,1
6.3313017,6.2733817,6.2355375,0.6636367,1156579.9,1.0,1.0092326,1
1.1992863,1.1374701,1.1036556,0.46135738,191126.61,1.0,1.0543454,1
3.7130103,3.4423928,3.429601,0.44767687,728919.25,1.0,1.0786132,1
3.0922246,2.9939425,3.2549982,0.71623087,621245.6,1.0,1.0328269,1
7.4287667,6.1442385,7.9685884,0.33395505,53041.66,1.0,1.2090622,0
5.222148,3.7963982,5.177255,0.24455467,271833.53,1.0,1.3755533,0
6.6175404,5.340984,6.034629,0.36982754,226492.97,0.0,1.2390115,0
3.6586308,2.5819666,3.3415782,0.5580863,119930.68,0.0,1.4169937,0
1.972462,1.2853612,2.0113592,0.6925387,1140371.4,1.0,1.5345585,0
4.525761,3.5488954,4.9046803,0.4009222,1160172.2,1.0,1.2752591,0
0.6977746,0.6853376,0.683761,0.7722256,1075512.5,1.0,1.0181472,1
6.6555233,6.068628,6.856014,0.5040796,1187213.0,1.0,1.0967097,1
5.126982,4.7083287,5.170057,0.48267058,1005263.9,0.0,1.0889177,1
6.1130843,5.7192698,6.5896087,0.37250927,1122008.2,1.0,1.0688576,1
2.9653025,2.7768853,3.1624286,0.7927033,277275.8,0.0,1.067852,1
7.771445,5.4533215,7.3041453,0.47745666,345416.44,0.0,1.4250846,0
7.1663446,6.236467,7.4208117,0.3002018,1041376.0,1.0,1.1491033,0
6.2713914,5.958481,6.707257,0.8686503,601383.3,1.0,1.0525151,1
1.718182,1.638542,1.8660313,0.5590505,874518.3,1.0,1.048604,1
3.8404238,2.965116,3.9094956,0.6198246,696195.44,0.0,1.2952019,0
0.54166937,0.38681132,0.5065596,0.75223404,401484.56,1.0,1.4003452,1
1.403458,1.3051498,1.4198033,0.5921694,377560.06,1.0,1.0753233,1
5.527782,4.06095,5.711104,0.6462334,910406.56,1.0,1.3612041,1
6.009145,4.5260906,5.7357154,0.5081488,661909.4,0.0,1.3276678,0
7.746576,6.4423103,8.479404,0.61005986,463293.53,0.0,1.202453,1
2.741438,2.052693,2.5930307,0.49487633,759595.6,1.0,1.3355324,0
3.0895858,2.0138762,3.3437674,0.49696848,532928.25,0.0,1.5341488,0
3.8625352,3.6542568,3.8047369,0.5179575,596336.06,1.0,1.0569961,1
1.6778766,1.6645391,1.5102749,0.44047773,829596.2,0.0,1.0080128,1
1.2133877,1.1529207,1.223893,0.57565665,576660.0,1.0,1.0524468,1
3.9104984,3.0090709,4.010831,0.5752768,1142431.8,1.0,1.2995701,0
1.969893,1.521615,2.1154141,0.6228375,607971.5,1.0,1.2946066,0
5.424549,4.4304323,5.4685564,0.59594095,1156096.2,1.0,1.2243837,1
3.609785,2.747485,3.3167639,0.80000645,1024841.4,0.0,1.3138506,1
6.69489,4.794414,7.266384,0.65789443,1074566.5,1.0,1.3963938,0
5.662068,5.4902616,5.7360764,0.4689122,927766.6,1.0,1.0312929,1
2.6364598,2.3914897,2.51599,0.56796074,745204.5,1.0,1.1024342,1
6.6916265,5.275427,7.225429,0.7119047,662567.8,1.0,1.2684522,1
6.477162,5.316467,5.986081,0.357504,684403.4,0.0,1.2183207,0
3.2223313,2.6107204,2.9629226,0.80213624,281672.94,0.0,1.234269,1
2.448959,1.7087831,2.4661064,0.38380408,296554.1,1.0,1.4331597,0
5.523465,4.2251387,5.6614237,0.6350413,89286.1,1.0,1.307286,1
1.2900693,1.1034209,1.292897,0.5009901,907394.4,0.0,1.1691544,0
1.759284,1.4239162,1.9102278,0.49236014,193593.03,1.0,1.235525,0
0.2574257,0.20473516,0.2452145,0.30456308,719471.5,0.0,1.2573595,0
6.3380103,5.5270977,6.959433,0.636125,208611.56,0.0,1.1467158,1
5.3858366,3.9927568,4.8680954,0.30674627,126528.74,1.0,1.3489017,0
5.7002897,4.1926837,5.2653966,0.28358448,663633.5,1.0,1.3595803,0
6.2896867,4.401819,5.894287,0.67395544,1054060.2,0.0,1.4288834,0
3.7795432,2.6683629,3.4617407,0.76844084,459416.6,1.0,1.4164276,1
4.6361814,4.1854177,4.5788946,0.39991313,1107111.6,1.0,1.1076987,0
1.2904166,1.16544,1.384713,0.6504664,61853.207,1.0,1.1072356,1
1.0933346,1.0312508,1.1634741,0.61947894,585599.9,1.0,1.0602024,1
5.413543,4.423095,5.6785436,0.4862722,218779.11,1.0,1.2239264,1
3.8745503,3.2145336,3.492837,0.7003725,413147.56,0.0,1.2053227,1
4.6088414,3.4571848,4.9459376,0.47545668,77291.484,1.0,1.3331199,0
6.166991,5.1563797,6.0393333,0.5776301,90649.61,0.0,1.1959925,1
5.150803,3.9082315,5.389427,0.31193453,869735.75,0.0,1.317937,0
4.5179195,4.1915655,4.7229595,0.31834555,802721.06,0.0,1.0778596,0
4.5618157,3.5708854,4.267598,0.67535675,289585.78,0.0,1.2775028,1
2.5708108,2.0622103,2.5787263,0.58268076,1086321.4,1.0,1.2466288,0
0.4403791,0.3162508,0.47791535,0.47863147,841173.5,1.0,1.3924996,0
3.6063957,2.6650507,3.4354875,0.7861768,436599.06,0.0,1.3532183,1
1.8737605,1.8385766,1.9543426,0.78459734,518801.16,1.0,1.0191364,1
3.3865235,2.2368429,3.6967635,0.5658752,386439.16,1.0,1.5139745,0
6.856544,4.6078625,6.6654263,0.28165174,1005187.94,0.0,1.4880097,0
2.024728,1.385502,1.9792258,0.48326015,618053.94,1.0,1.4613678,0
0.6547614,0.6074157,0.6485493,0.3751127,205603.72,0.0,1.0779462,0
2.3947945,2.153498,2.5428114,0.513427,281970.8,0.0,1.1120485,1
2.4900312,2.1320207,2.4597948,0.35955542,391065.94,1.0,1.1679208,0
5.362949,4.5396047,5.3481965,0.32056612,513626.16,1.0,1.1813691,0
4.544851,3.0095403,4.2924457,0.16060801,731535.9,0.0,1.5101478,0
6.314406,5.793408,6.931128,0.5250886,1158789.8,0.0,1.0899295,1
5.3816457,4.2208595,5.803948,0.15518554,351217.94,1.0,1.2750118,0
3.3698175,2.467661,3.4373853,0.4519639,427664.1,1.0,1.3655918,0
6.549359,5.415971,7.1526337,0.60415953,77544.8,1.0,1.2092677,1
1.5023887,1.0911634,1.5585774,0.39168563,478434.75,1.0,1.3768687,0
0.37715417,0.28389195,0.4117849,0.3372757,826339.06,1.0,1.328513,0
0.9023733,0.8610848,0.8412891,0.48982295,1157520.4,1.0,1.0479494,1
5.834403,4.916231,5.5140443,0.37570918,901217.94,0.0,1.1867633,0
3.8026423,2.7108502,4.0955844,0.52784866,185695.98,1.0,1.4027491,0
1.4579198,1.0685674,1.4345565,0.34507552,1073544.4,0.0,1.3643687,0
4.108149,3.7449877,4.0022883,0.48432592,1014481.0,1.0,1.0969727,1
1.3880343,0.9743146,1.4586396,0.44803688,267375.8,0.0,1.4246265,0
5.631299,3.8725953,5.7780795,0.49827176,1124494.2,0.0,1.4541408,0
3.680019,3.073738,3.5652552,0.74527276,871213.9,1.0,1.1972455,1
3.1719656,2.6827245,3.107169,0.52997166,950239.94,1.0,1.1823673,1
